X,Y,OBJECTID,DATE_,SITE,PROBE,TEMP_C,CONDUCTIVI,SP_CONDUCT,SALINITY,DISS_OXYGE,COMMENTS,UTM_E,UTM_N
-12870894.0266,3935316.5046,234,2005/01/05 00:00:00+00,North Wister,4.0,14.1,38.5,48.3,36.2,11.3, ,628368,3685497
-12870915.7261,3923476.2963,235,2005/01/05 00:00:00+00,Alamo River,4.0,13.8,36.9,47.2,35.1,8.6, ,628480,3675635
-12870894.0266,3935316.5046,236,2005/01/06 00:00:00+00,North Wister,4.0,13.6,38.6,49.4,37.3,15.5, ,628368,3685497
-12870915.7261,3923476.2963,237,2005/01/06 00:00:00+00,Alamo River,4.0,13.5,38.0,48.6,36.5,9.4, ,628480,3675635
-12886715.1589,3942739.9842,238,2005/01/10 00:00:00+00,The Cliffs,N/A,N/A,N/A,N/A,N/A,N/A, ,615062,3691509
-12886715.1589,3942739.9842,239,2005/01/11 00:00:00+00,The Cliffs,N/A,N/A,N/A,N/A,N/A,N/A, ,615062,3691509
-12906353.2527,3964286.9348,240,2005/01/12 00:00:00+00,North Shore,4.0,14.2,40.8,51.4,39.5,9.3, ,598465,3709237
-12895737.4548,3952891.3244,241,2005/01/12 00:00:00+00,Bat Caves,4.0,14.4,38.2,48.0,35.9,10.8, ,607427,3699864
-12906353.2527,3964286.9348,242,2005/01/13 00:00:00+00,North Shore,4.0,14.3,41.3,52.0,40.1,10.9, ,598465,3709237
-12895737.4548,3952891.3244,243,2005/01/13 00:00:00+00,Bat Caves,4.0,13.9,44.2,55.8,44.6,8.6, ,607427,3699864
-12908343.5215,3941190.3219,244,2005/01/18 00:00:00+00,The Dome,4.0,14.3,37.9,47.7,35.6,8.0, ,596997,3690022
-12898906.8272,3931692.0641,245,2005/01/18 00:00:00+00,South Salton City,4.0,14.3,40.6,51.1,39.1,11.8, ,604971,3682198
-12908343.5215,3941190.3219,246,2005/01/19 00:00:00+00,The Dome,4.0,15.2,44.9,55.2,43.9,6.8, ,596997,3690022
